sample_id,p1,p2,p3,p4,p5,type
1,-0.5,-0.5,-0.5,-0.5,-0.5,deterministic
2,-1.0,-1.0,-1.0,-1.0,-1.0,deterministic
3,-1.5,-1.5,-1.5,-1.5,-1.5,deterministic
4,-2.0,-2.0,-2.0,-2.0,-2.0,deterministic
5,-0.5,-0.5,-0.5,-0.5,0.0,deterministic
6,-1.0,-1.0,-1.0,-1.0,0.0,deterministic
7,-1.5,-1.5,-1.5,-1.5,0.0,deterministic
8,-2.0,-2.0,-2.0,-2.0,0.0,deterministic
9,-0.5,-0.5,-0.5,-0.5,0.5,deterministic
10,-1.0,-1.0,-1.0,-1.0,1.0,deterministic
11,-1.5,-1.5,-1.5,-1.5,1.5,deterministic
12,-2.0,-2.0,-2.0,-2.0,2.0,deterministic
13,-0.5,-0.5,-0.5,0.0,-0.5,deterministic
14,-1.0,-1.0,-1.0,0.0,-1.0,deterministic
15,-1.5,-1.5,-1.5,0.0,-1.5,deterministic
16,-2.0,-2.0,-2.0,0.0,-2.0,deterministic
17,-0.5,-0.5,-0.5,0.0,0.0,deterministic
18,-1.0,-1.0,-1.0,0.0,0.0,deterministic
19,-1.5,-1.5,-1.5,0.0,0.0,deterministic
20,-2.0,-2.0,-2.0,0.0,0.0,deterministic
21,-0.5,-0.5,-0.5,0.0,0.5,deterministic
22,-1.0,-1.0,-1.0,0.0,1.0,deterministic
23,-1.5,-1.5,-1.5,0.0,1.5,deterministic
24,-2.0,-2.0,-2.0,0.0,2.0,deterministic
25,-0.5,-0.5,-0.5,0.5,-0.5,deterministic
26,-1.0,-1.0,-1.0,1.0,-1.0,deterministic
27,-1.5,-1.5,-1.5,1.5,-1.5,deterministic
28,-2.0,-2.0,-2.0,2.0,-2.0,deterministic
29,-0.5,-0.5,-0.5,0.5,0.0,deterministic
30,-1.0,-1.0,-1.0,1.0,0.0,deterministic
31,-1.5,-1.5,-1.5,1.5,0.0,deterministic
32,-2.0,-2.0,-2.0,2.0,0.0,deterministic
33,-0.5,-0.5,-0.5,0.5,0.5,deterministic
34,-1.0,-1.0,-1.0,1.0,1.0,deterministic
35,-1.5,-1.5,-1.5,1.5,1.5,deterministic
36,-2.0,-2.0,-2.0,2.0,2.0,deterministic
37,-0.5,-0.5,0.0,-0.5,-0.5,deterministic
38,-1.0,-1.0,0.0,-1.0,-1.0,deterministic
39,-1.5,-1.5,0.0,-1.5,-1.5,deterministic
40,-2.0,-2.0,0.0,-2.0,-2.0,deterministic
41,-0.5,-0.5,0.0,-0.5,0.0,deterministic
42,-1.0,-1.0,0.0,-1.0,0.0,deterministic
43,-1.5,-1.5,0.0,-1.5,0.0,deterministic
44,-2.0,-2.0,0.0,-2.0,0.0,deterministic
45,-0.5,-0.5,0.0,-0.5,0.5,deterministic
46,-1.0,-1.0,0.0,-1.0,1.0,deterministic
47,-1.5,-1.5,0.0,-1.5,1.5,deterministic
48,-2.0,-2.0,0.0,-2.0,2.0,deterministic
49,-0.5,-0.5,0.0,0.0,-0.5,deterministic
50,-1.0,-1.0,0.0,0.0,-1.0,deterministic
51,-1.5,-1.5,0.0,0.0,-1.5,deterministic
52,-2.0,-2.0,0.0,0.0,-2.0,deterministic
53,-0.5,-0.5,0.0,0.0,0.0,deterministic
54,-1.0,-1.0,0.0,0.0,0.0,deterministic
55,-1.5,-1.5,0.0,0.0,0.0,deterministic
56,-2.0,-2.0,0.0,0.0,0.0,deterministic
57,-0.5,-0.5,0.0,0.0,0.5,deterministic
58,-1.0,-1.0,0.0,0.0,1.0,deterministic
59,-1.5,-1.5,0.0,0.0,1.5,deterministic
60,-2.0,-2.0,0.0,0.0,2.0,deterministic
61,-0.5,-0.5,0.0,0.5,-0.5,deterministic
62,-1.0,-1.0,0.0,1.0,-1.0,deterministic
63,-1.5,-1.5,0.0,1.5,-1.5,deterministic
64,-2.0,-2.0,0.0,2.0,-2.0,deterministic
65,-0.5,-0.5,0.0,0.5,0.0,deterministic
66,-1.0,-1.0,0.0,1.0,0.0,deterministic
67,-1.5,-1.5,0.0,1.5,0.0,deterministic
68,-2.0,-2.0,0.0,2.0,0.0,deterministic
69,-0.5,-0.5,0.0,0.5,0.5,deterministic
70,-1.0,-1.0,0.0,1.0,1.0,deterministic
71,-1.5,-1.5,0.0,1.5,1.5,deterministic
72,-2.0,-2.0,0.0,2.0,2.0,deterministic
73,-0.5,-0.5,0.5,-0.5,-0.5,deterministic
74,-1.0,-1.0,1.0,-1.0,-1.0,deterministic
75,-1.5,-1.5,1.5,-1.5,-1.5,deterministic
76,-2.0,-2.0,2.0,-2.0,-2.0,deterministic
77,-0.5,-0.5,0.5,-0.5,0.0,deterministic
78,-1.0,-1.0,1.0,-1.0,0.0,deterministic
79,-1.5,-1.5,1.5,-1.5,0.0,deterministic
80,-2.0,-2.0,2.0,-2.0,0.0,deterministic
81,-0.5,-0.5,0.5,-0.5,0.5,deterministic
82,-1.0,-1.0,1.0,-1.0,1.0,deterministic
83,-1.5,-1.5,1.5,-1.5,1.5,deterministic
84,-2.0,-2.0,2.0,-2.0,2.0,deterministic
85,-0.5,-0.5,0.5,0.0,-0.5,deterministic
86,-1.0,-1.0,1.0,0.0,-1.0,deterministic
87,-1.5,-1.5,1.5,0.0,-1.5,deterministic
88,-2.0,-2.0,2.0,0.0,-2.0,deterministic
89,-0.5,-0.5,0.5,0.0,0.0,deterministic
90,-1.0,-1.0,1.0,0.0,0.0,deterministic
91,-1.5,-1.5,1.5,0.0,0.0,deterministic
92,-2.0,-2.0,2.0,0.0,0.0,deterministic
93,-0.5,-0.5,0.5,0.0,0.5,deterministic
94,-1.0,-1.0,1.0,0.0,1.0,deterministic
95,-1.5,-1.5,1.5,0.0,1.5,deterministic
96,-2.0,-2.0,2.0,0.0,2.0,deterministic
97,-0.5,-0.5,0.5,0.5,-0.5,deterministic
98,-1.0,-1.0,1.0,1.0,-1.0,deterministic
99,-1.5,-1.5,1.5,1.5,-1.5,deterministic
100,-2.0,-2.0,2.0,2.0,-2.0,deterministic
101,-0.5,-0.5,0.5,0.5,0.0,deterministic
